customer_id,customer_name,email,data_usage,plan_type,signup_date,total_data_usage,customer_status,last_update,phone_home,phone_mobile
101,Customer_101,customer101@example.com,58.42,Basic,2023-01-01,998GB,Active,2024-09-01,5048529717,6213219047
102,Customer_102,customer102@example.com,93.25,Basic,2023-01-16,621GB,Active,2024-09-03,6189194126,7303385021
103,Customer_103,customer103@example.com,29.67,Basic,2023-01-31,459GB,Active,2024-09-05,1364092539,3990098656
104,Customer_104,customer104@example.com,86.67,Premium,2023-02-15,407GB,Inactive,2024-09-07,4037373070,9428780050
105,Customer_105,customer105@example.com,69.05,Standard,2023-03-02,353GB,Active,2024-09-09,7393804926,6579176255
106,Customer_106,customer106@example.com,6.2,Basic,2023-03-17,986GB,Inactive,2024-09-11,6647179540,3868223420
107,Customer_107,customer107@example.com,32.3,Premium,2023-04-01,621GB,Active,2024-09-13,9194577463,4843420510
108,Customer_108,customer108@example.com,78.98,Basic,2023-04-16,232GB,Inactive,2024-09-15,9443081574,9253078576
109,Customer_109,customer109@example.com,27.55,Premium,2023-05-01,299GB,Inactive,2024-09-17,9757735640,6301735487
110,Customer_110,customer110@example.com,19.28,Standard,2023-05-16,556GB,Active,2024-09-19,4738565299,4199772111
111,Customer_111,customer111@example.com,89.77,Basic,2023-05-31,173GB,Inactive,2024-09-21,7702839964,2390466896
112,Customer_112,customer112@example.com,81.15,Standard,2023-06-15,762GB,Inactive,2024-09-23,5267942446,2235955895
113,Customer_113,customer113@example.com,22.87,Basic,2023-06-30,989GB,Active,2024-09-25,7073419140,7733701069
114,Customer_114,customer114@example.com,44.71,Basic,2023-07-15,625GB,Inactive,2024-09-27,6836666209,7538323073
115,Customer_115,customer115@example.com,12.1,Premium,2023-07-30,458GB,Active,2024-09-29,9484562652,6919581201
116,Customer_116,customer116@example.com,64.07,Premium,2023-08-14,851GB,Inactive,2024-10-01,5809945912,8696746396
117,Customer_117,customer117@example.com,1.54,Premium,2023-08-29,162GB,Active,2024-10-03,5211386440,7210798508
118,Customer_118,customer118@example.com,18.94,Basic,2023-09-13,792GB,Active,2024-10-05,3725095035,6138208130
119,Customer_119,customer119@example.com,84.37,Standard,2023-09-28,590GB,Active,2024-10-07,7211069746,5182201776
120,Customer_120,customer120@example.com,93.51,Standard,2023-10-13,225GB,Active,2024-10-09,8458942191,5501212460
121,Customer_121,customer121@example.com,37.55,Premium,2023-10-28,249GB,Inactive,2024-10-11,9451772882,7239738653
122,Customer_122,customer122@example.com,84.18,Basic,2023-11-12,957GB,Inactive,2024-10-13,9821831140,2593067812
123,Customer_123,customer123@example.com,83.75,Premium,2023-11-27,977GB,Inactive,2024-10-15,5351903852,4484788338
124,Customer_124,customer124@example.com,92.1,Basic,2023-12-12,227GB,Active,2024-10-17,8490166567,8344765065
125,Customer_125,customer125@example.com,96.65,Basic,2023-12-27,232GB,Active,2024-10-19,4298472589,7906101467
126,Customer_126,customer126@example.com,15.75,Premium,2024-01-11,254GB,Inactive,2024-10-21,5487099827,7449630722
127,Customer_127,customer127@example.com,27.93,Premium,2024-01-26,837GB,Active,2024-10-23,4393844790,4126678905
128,Customer_128,customer128@example.com,15.73,Premium,2024-02-10,572GB,Inactive,2024-10-25,3909383108,1948761401
129,Customer_129,customer129@example.com,42.4,Premium,2024-02-25,579GB,Active,2024-10-27,6337713283,8092352841
130,Customer_130,customer130@example.com,76.51,Basic,2024-03-11,825GB,Inactive,2024-10-29,8965524648,5385057670
131,Customer_131,customer131@example.com,26.14,Premium,2024-03-26,331GB,Inactive,2024-10-31,9922086132,6367460715
132,Customer_132,customer132@example.com,75.05,Standard,2024-04-10,909GB,Active,2024-11-02,9022625665,4366667798
133,Customer_133,customer133@example.com,15.94,Basic,2024-04-25,950GB,Active,2024-11-04,6700920996,8486861624
134,Customer_134,customer134@example.com,53.57,Standard,2024-05-10,777GB,Inactive,2024-11-06,8339360593,9254167253
135,Customer_135,customer135@example.com,52.27,Basic,2024-05-25,636GB,Inactive,2024-11-08,8942832764,4613581371
